pid,label,key,location,keywords,description,named_persons,rights,creation_date,ingest_date,format,source,order,layout,text,thumbnail,full,manifest,collection
02111cd,1886 City Directory,1886cd,,,,,,,2023-08-09,,,2111,cmhc_item,"CORBETT & BALLENGER’S  Leadville Gity Directory.     For 1886,     CITY OFFICERS.  GEORGE W. COOK ....... Cece cece eee eee eee MAYOR SAM..B. LEONARD .................20 0085 TREASURER ALOYSIUS LYNCH ........ 00... cece e seer eee eee CLERK JOSEPH S. JONES ........-..2. 0 cee eee eee ATTORNEY JOHN RILEY 2.2.0... 0.0. cece eee eee eee neee MARSHAL. RODERICK 8. KING .............--- 00-0 eee ENGINEER -FRANCIS ROSE..........2000 000000000 POLICE JUDGE ' WALTER POLLARD .......... ....CHIEF FIRE DEPT  JOSEPH M. KILLORAN ........ .--..- CITY COLLECTOR 2 ","/img/derivatives/iiif/images/02111cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/02111cd/full/1140,/0/default.jpg",/img/derivatives/iiif/02111cd/manifest.json,directories
02379cd,1887 City Directory,1887cd,,,,,,,2023-08-09,,,2379,cmhc_item,"CORBETT & BALLENGER’S  EIGHTH ANNUAL     LWA DV Ties  CITY DIRECTORY  PONTAINING A POMPLETE pusr     oo Pa, OF THE oe  INHABITANTS, INSTITUTIONS, CINCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI-  NESS FIRMS, ETC.  IN THE  CiTY OF LEADVILLE  FOR 1887.  LEADVILLE, COLO.: CORBETT & BALLENGER, PUBLISHERS.             ","/img/derivatives/iiif/images/02379cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/02379cd/full/1140,/0/default.jpg",/img/derivatives/iiif/02379cd/manifest.json,directories
02659cd,1888 City Directory,1888cd,,,,,,,2023-08-09,,,2659,cmhc_item,"BALLENGER & RICHARDS’  NINTH ANNUAL  LEADVILLE  CITY DIRECTORY,  CONTAINING A COMPLETE LIST  Pho mut tr. ft Phen py  OF THE INHABITANTS, INSTITUTIONS, INCORPORATED COMPANIES, MANUFACTURING ESTAB- LISHMENTS, BUSINESS, BUSI- NESS FIRMS, ETC.  CITY OF LEADVILLE, | FOR [888. Subscription Price,  LEADVILLE, COLO.: BALLENGER & RICHARDS, PUBLISHERS.    ","/img/derivatives/iiif/images/02659cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/02659cd/full/1140,/0/default.jpg",/img/derivatives/iiif/02659cd/manifest.json,directories
02933cd,1889 City Directory,1889cd,,,,,,,2023-08-09,,,2933,cmhc_item,"BALLENGER & RICHARDS’  TENTH ANNUAL  LEADVILLE  CITY DIRECTORY,  CONTAINING A COMPLETE LIST The Public } thrary °OF THE (te ot teodville.. INHABITANTS, INSTITUTIONS, INCORPORATED COM-'  PANIES, MANUFACTURING HSTABLISH- MENTS, BUSINESS, BUSINESS HIRMS, ETC.  IN THE  City or LeEapvitte,  FOR 1889.  Subscription Price,  LEADVILLE, COLO.: BALLENGER & RICHARDS, PUBLISHERS.    ","/img/derivatives/iiif/images/02933cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/02933cd/full/1140,/0/default.jpg",/img/derivatives/iiif/02933cd/manifest.json,directories
03208cd,1890 City Directory,1890cd,,,,,,,2023-08-09,,,3208,cmhc_item,   BALLENGER & RICHARDS  Leadville Gity Directory       FoR 1890.     CITY OFFICERS.  THOMAS W. JAYCOX........-.---..-.--------- MAYOR FRANK X. HOGAN ....-..-.-..----------- TREASURER JOHN LUMSDEN.-------.---------------.------- CLERK DANIEL SAYER ....----.----------------- -ATTORNEY OGDEN M. WHITE ....---------------------- MARSHAL RODERICK 8. KING..-.--..----------------- ENGINEER PATRICK CROWE ....-------.--------- POLICE JUDGE J. C. CARROLL .-----.------------- CHIEF FIRE DEP’T WILLIAM GLEASON_.-...----------- CITY COLLECTOR  JOHN LAW ....-.--------------------- CITY PHYSICIAN 2    ,"/img/derivatives/iiif/images/03208cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/03208cd/full/1140,/0/default.jpg",/img/derivatives/iiif/03208cd/manifest.json,directories
03492cd,1891 City Directory,1891cd,,,,,,,2023-08-09,,,3492,cmhc_item,"BALLENGER & RICHARDS  TWELFTH ANNUAL  LEADVILLE  CITY DIRECTORY,  CONTAW ING, a ee LIST  — “oF THE ee Ra ; INHABITANTS, INSTITUTIONS, INCORPORATED COM- PANIES, MANUFACTURING ESTABLISH- MENTS, BUSINESS, BUSINESS  FIRMS, ETC.  IN THE  City or LEapvVILLE,  FOR 1891.  Subscription Price,  LEADVILLE, COLO.: BALLENGER & RICHARDS, PUBLISHERS.    ","/img/derivatives/iiif/images/03492cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/03492cd/full/1140,/0/default.jpg",/img/derivatives/iiif/03492cd/manifest.json,directories
03764cd,1892 City Directory,1892cd,,,,,,,2023-08-09,,,3764,cmhc_item,  ,"/img/derivatives/iiif/images/03764cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/03764cd/full/1140,/0/default.jpg",/img/derivatives/iiif/03764cd/manifest.json,directories
04056cd,1894 City Directory,1894cd,,,,,,,2023-08-09,,,4056,cmhc_item,"BALLENGER & RICHARDS  FOURTEENTH ANNUAL  LEADVILLE  CITY DIRECTORY  CONTAINING A COMPLETE LIST                                          OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- PANIES, MANUFACTURING ESTABLISH- MENTS, BUSINESS, BUSINESS FIRMS, ETC.  IN THE Crry or Leapvitte,  FOR 1894. Subscription Price, - $4.00  LEADVILLE, COLO.: BALLENGER & RICHARDS, PUBLISHERS. ","/img/derivatives/iiif/images/04056cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/04056cd/full/1140,/0/default.jpg",/img/derivatives/iiif/04056cd/manifest.json,directories
04361cd,1895 City Directory,1895cd,,,,,,,2023-08-09,,,4361,cmhc_item,"                                                                                                                                                                                                                                                                                                   C. H. MORSE,  LEADVILLE, COLo.  A FIRST-CLASS HOTEL. REFURNISHED AND REFITTED.  GOOD SAMPLE ROOMS. FINE APARTMENTS. ROOMS, SINGLE OR EN SUITE. ALL MODERN CONVENIENCES. STEAM HEAT. ELECTRIC LIGHTS. ELEVATOR. ELEGANT BATHS. UNEXCELLED CUISINE. EXCELLEAT SERVICE.    ","/img/derivatives/iiif/images/04361cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/04361cd/full/1140,/0/default.jpg",/img/derivatives/iiif/04361cd/manifest.json,directories
04654cd,1897 City Directory,1897cd,,,,,,,2023-08-09,,,4654,cmhc_item,BALLENGER & RICHARDS  LEADVILLE GITY DIRECTORY        18s9°7 1897 CITY OFFICERS. C. EK. DICKINSON ----.--.---------------------- MAYOR F. M. GODDARD _.___-._...-_-_------------ TREASURER W.G. NIMERICK _.-.-.---.---------------------- CLERK L. FRANK BROWN ..------------.---------- ATTORNEY E. L. DANIELS --.-----.---------------------- MARSHAL L. F. LONG.-.--..._.------------ CAPTAIN OF POLICE G. W. TAUGHENBAUGH __.___-_---.-----.- CITY JAILER J. C. F. CHRISTIAN -_-___----.---------------- ENGINEER JOHN NOWLAND .-.-.---------- POLICE MAGISTRATE WILLIAM T. THOMSON .--.-—------ CHIEF FIRE DEP’T PHILIP BAKER -_-_.---..------------ CITY COLLECTOR J. H. COLE ___.-__...-.---.-.-------- CITY PHYSICIAN J. A. GREENLAW.--___-------- STREET SUPERVISOR  2 ,"/img/derivatives/iiif/images/04654cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/04654cd/full/1140,/0/default.jpg",/img/derivatives/iiif/04654cd/manifest.json,directories
04959cd,1898 City Directory,1898cd,,,,,,,2023-08-09,,,4959,cmhc_item,"   BALLENGER & RICHARDS  SEVENTEENTH ANNUAL  LEADVILLE  ory DIRECTORY  CONTAINING A COMPLETE LIST OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISH- MENTS, BUSINESS, BUSINESS FIRMS, ETC.  IN THE  City or LeapvILte,  FOR 1898.  Subscription Price, = $4.00.     LEADVILLE, COLO.: BALLENGER & RICHARDS, PUBLISHERS.  | ","/img/derivatives/iiif/images/04959cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/04959cd/full/1140,/0/default.jpg",/img/derivatives/iiif/04959cd/manifest.json,directories
05256cd,1899 City Directory,1899cd,,,,,,,2023-08-09,,,5256,cmhc_item,"   BALLENGER & RICHARDS  EIGHTEENTH ANNUAL  LEADVILLE  CITY DIRECTORY  FOR 1899.  CONTAINING A COMPLETE LIST OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISHMENTS, BUSINESS, BUSINESS FIRMS, ETC.  Subscription Price,  LEADVILLE, COLO.: BAaLLENGER & RICHARDS, PUBLISHERS.       ","/img/derivatives/iiif/images/05256cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/05256cd/full/1140,/0/default.jpg",/img/derivatives/iiif/05256cd/manifest.json,directories
05582cd,1900 City Directory,1900cd,,,,,,,2023-10-09,,,5582,cmhc_item,"Sy  ae Ticats  ot ants le gee ue  tage celal at  Tia  A  PITS ia  Me ted ete aah cee  i  an  Tila Ta  Ty ee Peesigittit ge) a SUE et ieee a Oe ees Ee RC” Re ee  Wholesale  LIQUORS WINES CIGARS  ACENT MILWAUKEE BREWING COMPANY Cor. Harrison Avenue and Chestnut Street  LEADVILLE, COLORADO  i)  al  an  tf  mi) mn  a ft  iil  ri  il  il    ","/img/derivatives/iiif/images/05582cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/05582cd/full/1140,/0/default.jpg",/img/derivatives/iiif/05582cd/manifest.json,directories
05946cd,1901 City Directory,1901cd,,,,,,,2023-10-09,,,5946,cmhc_item,"reenact ml ne:  rm a  Ha  MA lt  THE DELAWARE  EUROPEAN HOTEL  J. W. CALLAWAY, Proprietor ' Steam Heat P. O. Box 148  Cor. Harrison Ave. and Seventh St., Leadvilte, Colo.  JULIUS BRIEL  Wholesale  ‘Sole Agent euzane| Liquor Dealer co. and Jobber in  Cigars”  Telephones  . Office and Warehouse . | WAREHOUSE Cor. 13th and Poplar Streets  op, City Office . . , 423. Harrison Avenve |  eT arti    ","/img/derivatives/iiif/images/05946cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/05946cd/full/1140,/0/default.jpg",/img/derivatives/iiif/05946cd/manifest.json,directories
06328cd,1902 City Directory,1902cd,,,,,,,2023-10-19,,,6328,cmhc_item,BALLENGER & RICHARDS  Leadville City Directory     1902 1902 CITY OFFICERS. JESSE F. McDONALD.........................005. MAYOR H. D. CURTIS............................45. TREASURER J. L. WRIGHT. ........... 0.00 ce cece eens CLERK M. J. SWEENEY......................... DEPUTY CLERK F. E. BOUCK.........................0..00008. ATTORNEY W. L. G. SMITH.......................5. CITY ENGINEER THOMAS H. HORRIGAN........................ MARSHAL WILLIAM CAMPBELL.............. CAPTAIN OF POLICE THOMAS F. O’MAHONEY.......... POLICE MAGISTRATE JAMES MURPHY..................... CHIEF FIRE DEP’T PETER H. HARRINGTON............... CITY COLLECTOR T. J. WILLIAMS.....................0.. CITY PHYSICIAN JOHN P. O’NEILL.................. STREET SUPERVISOR ,"/img/derivatives/iiif/images/06328cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/06328cd/full/1140,/0/default.jpg",/img/derivatives/iiif/06328cd/manifest.json,directories
06681cd,1903 City Directory,1903cd,,,,,,,2023-10-19,,,6681,cmhc_item,"BALLENGER & RICHARDS  TWENTY-SECOND ANNUAL  LEADVILLE  CITY DIRECTORY FOR 1903  CONTAINING A COMPLETE LIST OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISHMENTS, BUSINESS, BUSINESS FIRMS, ETC.  Subscription Price,  LEADVILLE, COLO., BALLENGER & RICHARDS, Publishers.    ","/img/derivatives/iiif/images/06681cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/06681cd/full/1140,/0/default.jpg",/img/derivatives/iiif/06681cd/manifest.json,directories
07035cd,1904 City Directory,1904cd,,,,,,,2023-10-19,,,7035,cmhc_item,"                re i UROPEAN- HOTEL er W.: CALLAWAY, Pragrieror .. Post Office Box 148     Corner Harrison Avenue and Seventh Street... - eee COLO.     ; wei a? ‘COLE 2° -Phone 99 ""JAMES McMORDIE  THE LEADVILLE ICE & COAL co.  SS IN     Alpine, Baldwin and Canon City Coals ©  ‘PURE MOUNTAIN ICE  Pe WHOLESALE AND RETAIL  a - YARDS AND OFFICE  ‘Twelfth and Hazel Streets  a ea Colo.       ","/img/derivatives/iiif/images/07035cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/07035cd/full/1140,/0/default.jpg",/img/derivatives/iiif/07035cd/manifest.json,directories
07404cd,1905 City Directory,1905cd,,,,,,,2023-10-19,,,7404,cmhc_item,"BALLENGERK & RICHARDS  Leadville City Directory  $905     H. C. ROSE...... 2... 2.2... ee eee eee te eee MAYOR ARTHUR R. MIULKS.........................2.. TREASURER G. H. COLAHAN....................--.222. 2-2. 2226-, CLERK. A.S. BLAKE. ....... 0... 2. ee ee ee eee ATTORNEY W. H. CAMPBELL.....................222...226-. MARSHAL P. F. GILDEA........................ CAPTAIN OF POLICE - ELOF SWANSON................... POLICE MAGISTRATE J.R. MADIGAN......................2.-. CHIEF FIRE DEP’T PETER H. HARRINGTON ................ CITY COLLECTOR T. J. WILLIAMS......................... CITY PHYSICIAN B. LANE................2..2-..2006-6. STREET SUPERVISOR ","/img/derivatives/iiif/images/07404cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/07404cd/full/1140,/0/default.jpg",/img/derivatives/iiif/07404cd/manifest.json,directories
07768cd,1906 City Directory,1906cd,,,,,,,2023-10-21,,,7768,cmhc_item,"BALLENGER & RICHARDS Leadville City Directory  1906     H. C. ROSE. .. 2.2.6.6 ee ce tweens MAYOR ARTHUR R. MILKS.........................-- TREASURER G. H. COLAHAN.... 2.0... 6 eee CLERK A. S. BLAKE............ 0.0.0... eee ee ee eee ATTORNEY 1, Uo WIGINIANIORS 5 oo 0c cc coc coc cD De 00000000008 CITY ENGINEER W. HH. CAMPBELL.................2-. 000.200 MARSHAL P. F. GILDEA....................... CAPTAIN OF POLICE ELOF SWANSON.................--- POLICE MAGISTRATE J.R. MADIGAN........................ CHIEF FIRE DEP’T PETER H. HARRINGTON................ CITY COLLECTOR T. J. WILLIAMS.....................-... CITY PHYSICIAN B. LANE..............-.....-.0--05. STREET SUPERVISOR ","/img/derivatives/iiif/images/07768cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/07768cd/full/1140,/0/default.jpg",/img/derivatives/iiif/07768cd/manifest.json,directories
08155cd,1907 City Directory,1907cd,,,,,,,2023-10-21,,,8155,cmhc_item,"   TWENTY-SIXTH ANNUAL  BALLENGER & RICHARDS  CITY DIRECTORY  FOR 1907  CONTAINING A COMPLETE LIST  OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISHMENTS, BUSINESS, BUSINESS FIRMS, ETC.     Subscription Price, - - $4.00     LEADVILLE, COLO.  BALLENGER & RICHARDS, Publishers.  - LEADVILLE        COPYRIGHT, 1907, BY BALLENGER & RICHARDS ","/img/derivatives/iiif/images/08155cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/08155cd/full/1140,/0/default.jpg",/img/derivatives/iiif/08155cd/manifest.json,directories
08558cd,1908 City Directory,1908cd,,,,,,,2023-10-21,,,8558,cmhc_item,TO FIND A NAME YOU YOU MUST KNOW KNOW HOW    ,"/img/derivatives/iiif/images/08558cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/08558cd/full/1140,/0/default.jpg",/img/derivatives/iiif/08558cd/manifest.json,directories
08931cd,1909 City Directory,1909cd,,,,,,,2023-10-21,,,8931,cmhc_item,"   BALLENGER & RICHARDS  LEADVILLE CITY DIRECTORY  FOR 1909  CONTAINING A COMPLETE LIST  OF THE  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISHMENTS, BUSINESS, BUSINESS FIRMS, ETC.     Subscription Price, - - $4.00     LEADVILLE, COLO.  BALLENGER & RICHARDS, Publishers.  TWENTY-EIGHTH ANNUAL     SCOPYRIGHT, 1909. BY BALLENGER & RICHARDS. ","/img/derivatives/iiif/images/08931cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/08931cd/full/1140,/0/default.jpg",/img/derivatives/iiif/08931cd/manifest.json,directories
09255cd,1910 City Directory,1910cd,,,,,,,2023-10-21,,,9255,cmhc_item,"BALLENGER & RICHARDS Leadville City Directory        1910 1910 CITY OFFICERS H. C. ROSE............ 0200... 22 ee ee ee ee eee MAYOR JOSEPH LINDSAY, JR......................-... TREASURER RICHARD S. CASEY...............-....-.-...--2-008- CLERK JOSEPH W. CLARKE.......................--.- ATTORNEY J.C. F. CHRISTIAN....................... CITY ENGINEER DONALD McKAY..............................--. MARSHAT JULIUS MATINKE.................... CAPTAIN OF POLICE JOHN D. THOMAS................... POLICE MAGISTRATE CHARLES E. SLAVIN................... CHIEF FIRE DEP’T A. J. MecDONALD...................... ..-CITY PHYSICIAN  W. W. COBLE...................--.. STREET SUPERVISOR ","/img/derivatives/iiif/images/09255cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/09255cd/full/1140,/0/default.jpg",/img/derivatives/iiif/09255cd/manifest.json,directories
09593cd,1911 City Directory,1911cd,,,,,,,2023-10-27,,,9593,cmhc_item,"Steam Heat  - «  Cor. Harrison Avenue and Seventh Street  ra Leadville, ae P.O. Box 596 Colo.    ","/img/derivatives/iiif/images/09593cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/09593cd/full/1140,/0/default.jpg",/img/derivatives/iiif/09593cd/manifest.json,directories
09870cd,1912 City Directory,1912cd,,,,,,,2023-10-27,,,9870,cmhc_item,"   BALLENGER & Ricuarps  THIRTY-PIRST ANNUAL  - LEADVILLE CITY DIRECTORY FOR 1912  OF THE —  INHABITANTS, INSTITUTIONS, INCORPORATED COMPA- NIES, MANUFACTURING ESTABLISHMENTS, BUSINESS, BUSINESS FIRMS, ETC. .     Subscription Price, - - $4.00     -LEADVILLE, COLO.  BALLENGER & RICHARDS, Publishers.     COPYRIGHT, 1942, BY BALLENGER & RICHARDS. . ","/img/derivatives/iiif/images/09870cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/09870cd/full/1140,/0/default.jpg",/img/derivatives/iiif/09870cd/manifest.json,directories
10204cd,1913 City Directory,1913cd,,,,,,,2023-10-27,,,10204,cmhc_item,"tion by business will be found immediately after thi or full indices as to the contents of the work, see:  Nasional Bank Bldg., Harrison — eor.. 5th. c MINING & MILLING CO,, S. D. Nichol- . mgr., American. National Bank stindot Har-    ","/img/derivatives/iiif/images/10204cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/10204cd/full/1140,/0/default.jpg",/img/derivatives/iiif/10204cd/manifest.json,directories
10473cd,1914 City Directory,1914cd,,,,,,,2023-10-28,,,10473,cmhc_item,"aren apt te Aer ony, ""a  ao = crea naa aie Siig  ~ ip a ice deed    ","/img/derivatives/iiif/images/10473cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/10473cd/full/1140,/0/default.jpg",/img/derivatives/iiif/10473cd/manifest.json,directories
10780cd,1915 City Directory,1915cd,,,,,,,2023-10-28,,,10780,cmhc_item,"   - BALLENGER & RICHARDS  LEADVILLE — CITY DIRECTORY  a CONTAINING A COMPLETE LIST | |  OF THE  es INHABITANTS, INSTITUTIONS, INCORPORATED COMPA-  WIES, MANUFA BUSINESS, BUSINESS FIRMS, ETC.  _ LEADVILLE, COLO. WILL H. RICHARDS, Publisher.       ","/img/derivatives/iiif/images/10780cd/full/250,/0/default.jpg","/img/derivatives/iiif/images/10780cd/full/1140,/0/default.jpg",/img/derivatives/iiif/10780cd/manifest.json,directories
